Headword,Headword_Data,Definitions,Occurrences in the Aeneid
"dēvinciō, vinxī, vinctus, 4, a.","devincio, vinxi, vinctus, 4, a.","to bind fast; bind, 8.394.",1
"dēvincō, vīcī, victus, 3, a.","devinco, vici, victus, 3, a.","to conquer completely, to vanquish, 9.264; wage successfully, 10.370.",3
"dēvolō, āvī, ātus, 1, n.","devolo, avi, atus, 1, n.","to fly down, 4.702.",1
"dēvolvō, volvī, volūtus, 3, a.","devolvo, volvi, volutus, 3, a.","to roll down; throw, hurl down, 2.449.",1
"dēvoveō, vōvī, vōtus, 2, a.","devoveo, vovi, votus, 2, a.","to set apart by vows; devote, 12.234; p., dēvōtus, a, um, devoted, destined, doomed, 1.712.",3
"deus, ī, m.","deus, i, m.","a god, deity, 1.9, et al.; in general, god the deity, 6.749; a goddess, 2.632; the god Bacchus; (meton.), wine, 9.337.",181
"dexter, tra, trum (-tera, -terum)","dexter, tra, trum (-tera, -terum)","(adj.), right, as opp. to left, 5.162; on the right hand, 8.237; right handed, adroit, dexterous, 9.769; fit, 4.294; favorable, auspicious, propitious, 4.579; dextrā, on the right.",12
"dextra (dextera), ae (sc. manus), f.","dextra (dextera), ae (sc. manus), f.","the right hand, 1.408; valor, 10.610; faith, a pledge, 7.366.",111
"Diāna, ae, f.","Diana, ae, f.","a goddess of the Italians, and regarded by them as one with the Greek Artemis, daughter of Latona, and sister of Apollo; called Luna, as goddess of the moon; Hecate, as an infernal deity, invoked in magic rites, 4.511; and Diana, as goddess of the chase, 1.499. (rel. to Iānus = Diānus)",11
"diciō, ōnis, f.","dicio, onis, f.","dominion, power, sway, rule, 1.622. (only in gen., dat., acc., and abl. sing.)",4
"dicō, āvī, ātus, 1, a.","dico, avi, atus, 1, a.","devote, consecrate, 5.60; pronounce, 1.73. (rel. to dīcō)",3
"dīcō, dīxī, dictus, 3, a. and n.","dico, dixi, dictus, 3, a. and n.","to say, 1.81; speak of, mention, 4.43; celebrate; tell, rehearse, relate, recount, 1.753; sing, recite, 6.644; name, call, 1.277; pronounce, 6.231; declare, 12.112; disclose, portend, foretell, 3.362; bid, 5.551; speak, say, 3.312; announce, 1.137.",149
"Dictaeus, a, um","Dictaeus, a, um","adj. (Dictē), of Dicte, a mountain in Crete; Dictaean, Cretan, 3.171.",2
"dictamnus, ī, f., -um, ī, n.","dictamnus, i, f., -um, i, n.","dittany, an aromatic plant found on Mount Dicte, in Crete, 12.412. (Dicte)",1
"dictum, ī, n.","dictum, i, n.","a thing said; word, 1.197; command, precept, injunction, 1.695; promise, 8.643. (dīcō)",93
"Dīdō, ūs or ōnis, f.","Dido, us or onis, f.","Dido, daughter of Belus, king of Phoenicia, who fled from her brother Pygmalion to Africa, where she founded the city of Carthage, 1.299.",34
"dīdō, dīdidī, dīditus, 3, a.","dido, dididi, diditus, 3, a.","to spread abroad, disseminate, 7.144.",2
"dīdūcō, dūxī, ductus, 3, a.","diduco, duxi, ductus, 3, a.","to lead or draw apart; separate, sever, 3.419; distract, 5.720.",3
"Didymāōn, onis, m.","Didymaon, onis, m.","Didymaon, an artist, mentioned only by Virgil, 5.359.",1
"diēs, ēī (contracted form of gen. diī, 1.636), m. and f.","dies, ei (contracted form of gen. dii, 1.636), m. and f.","a day, the diurnal period of twenty-four hours, 1.732, et al.; a day, as distinguished from night, 5.43, et al.; a fixed, definite, or proper season, period, or time; daylight, 1.88; an indefinite period of time; time, 5.783; 6.745; length of time, 11.425.",61
"differō, distulī, dīlātus, ferre, irreg. a.","differo, distuli, dilatus, ferre, irreg. a.","to carry apart; tear asunder or in pieces, 8.643; stay, keep at bay, 9.135; put off, postpone, delay, 6.569.",5
"difficilis, e","difficilis, e","adj. (dis- and facilis), difficult; struggling, hard, 4.694; unyielding, stubborn, unfruitful; dangerous, 5.865.",2
"diffīdō, fīsus sum, 3, n.","diffido, fisus sum, 3, n.","to be distrustful; to distrust, 3.51.",1
"diffindō, fidī, fissus, 3, a.","diffindo, fidi, fissus, 3, a.","to cleave asunder; split, pierce, 9.589.",1
"diffugiō, fūgī, 3, n.","diffugio, fugi, 3, n.","to flee apart; run away, flee, 2.212.",6
"diffundō, fūdī, fūsus, 3, a.","diffundo, fudi, fusus, 3, a.","to pour round about, pour out, 10.908; diffuse; spread, multiply, 7.708; to put in disorder, dishevel, 1.319; spread abroad, 4.195.",5
"dīgerō, gessī, gestus, 3, a.","digero, gessi, gestus, 3, a.","to carry apart, separate one thing from another; arrange, dispose, lay in order, 3.446; explain, interpret, 2.182.",2
"digitus, ī, m.","digitus, i, m.","a finger, 6.647; toe, 5.426.",3
"dīgnor, ātus sum, 1, dep. a.","dignor, atus sum, 1, dep. a.","(w. acc. and abl.), to deem worthy of, 1.335; (w. inf.), think, fit, deign, 4.192; p., dīgnātus, a, um, with pass. meaning, deemed worthy of, honored by, 3.475. (dīgnus)",2
"dīgnus, a, um","dignus, a, um","(adj., w. abl.), deserving of, worthy of; with depend. clause or absol., fit, due, meet, worthy, 1.600, et al.; dīgna indīgna, worthy (and) unworthy; all fortunes, all things alike, 12.811.",20
"dīgredior, gressus sum, 3, dep. n.","digredior, gressus sum, 3, dep. n.","to walk or go apart, aside, or away; depart, 3.410; separate, 4.80; come from, 2.718. (di- and gradior)",6
"dīgressus, ūs, m.","digressus, us, m.","a going away; a departure, parting, 3.482.",2
"disiungō, iūnxī, iūnctus, 3, a.","disiungo, iunxi, iunctus, 3, a.","to disjoin, separate, drive away from, 1.252.",1
"dīlābor, lāpsus sum, 3, dep. n.","dilabor, lapsus sum, 3, dep. n.","to slip, glide, fall apart; depart, pass away, 4.705.",1
"dīligō, lēxī, lēctus, 3, a.","diligo, lexi, lectus, 3, a.","to love, 8.590; p., dīlēctus, a, um, loved, dear, 1.344.",4
"dīluvium, iī, n.","diluvium, ii, n.","a washing away, flood, deluge, 12.205; desolation, destruction, 7.228. (dīluō, cleanse)",2
"dīmētior, mēnsus sum, 4, dep. a.","dimetior, mensus sum, 4, dep. a.","to measure, mark out; lay out.",1
"dīmittō, mīsī, missus, 3, a.","dimitto, misi, missus, 3, a.","to send apart or away, 1.571; dispatch, 1.577; dismiss, 10.46; give up, 11.706.",9
"dīmoveō, mōvī, mōtus, 2, a.","dimoveo, movi, motus, 2, a.","to move apart or away; remove, dispel, 3.589; divide, 5.839.",5
"Dindyma, ōrum, n., and Dindymus, ī, m.","Dindyma, orum, n., and Dindymus, i, m.","Mount Dindymus or Dindyma, in Mysia, sacred to Cybele, 9.618.",1
"dīnumerō, āvī, ātus, 1, a.","dinumero, avi, atus, 1, a.","to distinguish by number, enumerate, reckon, count, 6.691.",1
"Diomēdēs, is, m.","Diomedes, is, m.","Diomedes, son of Tydeus, and king of Argos, distinguished among the Greeks at Troy, 1.752.",5
"Diōnaeus, a, um","Dionaeus, a, um","adj. (Diōnē), pertaining to Dione, mother of Venus; Dionaean, 3.19.",1
"Diōrēs, is, m.","Diores, is, m.","a son of Priam and companion of Aeneas, 5.297.",5
"Dioxippus, ī, m.","Dioxippus, i, m.","a Trojan, 9.574.",1
"Dīra, ae, f.","Dira, ae, f.","a Fury, 12.869; pl., Dīrae, ārum, the Furies, 4.473, et al.",5
"dērigō, rēxī, rēctus, 3, a.","derigo, rexi, rectus, 3, a.","to lay straight, bring into a definite line; to aim, direct, 1.401, et al. (dē and regō)",11
"dirimō, ēmī, ēmptus, 3, a.","dirimo, emi, emptus, 3, a.","to take asunder; to separate, 7.227; break off, end, 5.467; decide, 12.79. (dis- and emō)",3
"dīripiō, ripuī, reptus, 3, a.","diripio, ripui, reptus, 3, a.","to tear apart or off; snatch, tear away, 3.227; plunder, pillage, sack, 2.563. See also dēripiō. (dis- and rapiō)",6
"dīruō, uī, utus, 3, a.","diruo, ui, utus, 3, a.","to overthrow, tear apart or away from, 10.363.",1
"dīrus, a, um","dirus, a, um","(adj.), accursed; portentous; fearful, dreadful, awful, dire, cruel, horrible, freq.; accursed, 2.261; unhallowed, impious, 6.373; foul, carrion, 3.262; wild, furious, ardent, 9.185; pl., dīra (adv.), fearfully, 10.572.",33
"Dīs, ītis, m.","Dis, itis, m.","Pluto, the ruler of Hades, 4.702, et al.",9
"discēdō, cessī, cessus, 3, n.","discedo, cessi, cessus, 3, n.","to go apart or away, retire, withdraw, depart, 2.644; open, 9.20.",10
"discernō, crēvī, crētus, 3, a.","discerno, crevi, cretus, 3, a.","to distinguish one thing from another; determine, distinguish, decide, 12.898; perceive, 3.201; mark, set off; work, embroider, 4.264.",4
"discerpō, cerpsī, cerptus, 3, a.","discerpo, cerpsi, cerptus, 3, a.","to pluck asunder, to tear in pieces; disperse, 9.313. (dis- and carpō)",1
"discessus, ūs, m.","discessus, us, m.","a departing, departure, 6.464. (discēdō)",2
"discindō, scidī, scissus, 3, a.","discindo, scidi, scissus, 3, a.","to tear asunder, pull in pieces, rend, 12.602.",1
"discingō, cīnxī, cīnctus, 3, a.","discingo, cinxi, cinctus, 3, a.","to ungird; p., discīnctus, a, um, loose-robed; indolent, effeminate, 8.724.",1
"disclūdō, clūsī, clūsus, 3, a.","discludo, clusi, clusus, 3, a.","to open; loosen, 12.782. (dis- and claudō)",1
"discō, didicī, 3, a.","disco, didici, 3, a.","to learn, w. acc., 6.433; learn how, w. inf., 5.222.",11
"discolor, ōris","discolor, oris","(adj.), of different color, 6.204.",1
"discordia, ae, f.","discordia, ae, f.","difference in feeling, or mind; dissension, strife; personified, Discord or Eris, 6.280. (discors)",2
"discors, cordis","discors, cordis","adj. (dis- and cor), disagreeing, 2.423; hostile, 9.688; opposing, contending, 10.356.",3
"discrepō, uī, 1, n.","discrepo, ui, 1, n.","to be discordant in sound; (fig.), to differ, 10.434.",1
"discrīmen, inis, n.","discrimen, inis, n.","a separating interval, space, 5.154; separation, division, 10.382; distance, 3.685; difference, distinction, 1.574; variation, division, of sound; note, 6.646; crisis, danger, peril, 1.204; pl., difference, 10.529. (discernō)",16
"discrīminō, āvī, ātus, 1, a.","discrimino, avi, atus, 1, a.","to separate; to make distinct, with light; discover, illuminate, 11.144. (discrīmen)",1
"discumbō, cubuī, cubitus, 3, n.","discumbo, cubui, cubitus, 3, n.","to recline separately; recline at table, 1.708; (impers.), discumbitur, they recline, 1.700.",2
"discurrō, cucurrī, or currī, cursus, 3, n.","discurro, cucurri, or curri, cursus, 3, n.","to run apart; to ride in different directions, 5.580; to move in patrols, or hurry to and fro as patrols, 9.164; (impers.), discurritur, they hurry in different directions, 11.468.",5
"discutiō, cussī, cussus, 3, a.","discutio, cussi, cussus, 3, a.","to shake off, strike off, 9.810; disperse, dissipate, dispel. (dis- and quatiō)",2
"dīsiciō, iēcī, iectus, 3, a.","disicio, ieci, iectus, 3, a.","to throw, cast asunder; overthrow, demolish, 8.355; scatter, disperse, 1.70; cleave, 12.308. (dis- and iaciō)",12
"dispellō, pulī, pulsus, 3, a.","dispello, puli, pulsus, 3, a.","to drive away; separate, scatter, disperse, 1.538; to part, 5.839.",3
"dispendium, iī, n.","dispendium, ii, n.","a weighing out; expense, cost; loss, 3.453. (dispendō, weigh out)",1
"dispergō, spersī, spersus, 3, a.","dispergo, spersi, spersus, 3, a.","to sprinkle, shower around; disperse, scatter, 3.197; diffuse, dissolve, 11.617. (dis- and spargō)",6
"dispiciō, spexī, spectus, 3, a.","dispicio, spexi, spectus, 3, a.","to see distinctly, descry, perceive, discern, 6.734. (dis- and speciō, look)",1
"dispōnō, posuī, positus, 3, a.","dispono, posui, positus, 3, a.","to put in order; arrange, distribute, 3.237.",1
"dissēnsus, ūs, m.","dissensus, us, m.","disagreement, dissent, 11.455. (dissentiō, disagree)",1
"dissideō, sēdī, sessus, 2, n.","dissideo, sedi, sessus, 2, n.","to be situated apart, be separated, 7.370. (dis- and sedeō)",1
"dissiliō, uī, 4, n.","dissilio, ui, 4, n.","to spring apart; burst asunder; be rent asunder, 3.416; break in twain, 12.741. (dis- and saliō)",2
"dissimilis, e","dissimilis, e","(adj.), unlike; inadequate, unfit, unequal, 9.282.",1
"dissimulō, āvī, ātus, 1, a.","dissimulo, avi, atus, 1, a.","to misrepresent the truth or reality; dissemble, hide, disguise; conceal, 4.291; remain disguised, or concealed (others, repress one’s emotions), 1.516. (dissimilis)",4
"dissultō, 1, n.","dissulto, 1, n.","to leap asunder; spring back or apart, 8.240; burst from, 12.923. (dis- and saltō)",2
"distendō, tendī, tēnsus, or tentus, 3, a.","distendo, tendi, tensus, or tentus, 3, a.","to stretch apart or out; extend, distend; fill, 1.433.",1
"distineō, uī, tentus, 2, a.","distineo, ui, tentus, 2, a.","to hold at bay, keep off, 11.381. (dis- and teneō)",1
"distō, 1, n.","disto, 1, n.","to stand apart; be distant, 3.116.",1
"distrahō, trāxī, trāctus, 3, a.","distraho, traxi, tractus, 3, a.","to draw, tear asunder, 7.767.",1
"distringō, strīnxī, strīctus, 3, a.","distringo, strinxi, strictus, 3, a.","to draw apart; draw, blind, stretch, 6.617.",1
diū,diu,"(adv.), long, for a long time, 1.351. (old abl., cf. diēs)",10
"dīva, ae, f.","diva, ae, f.","a goddess, 1.632, et al.",20
"dīvellō, vellī, vulsus, 3, a.","divello, velli, vulsus, 3, a.","to tear asunder; tear in pieces, 4.600; tear away, 8.568; separate, scatter (others, drive away), 2.434; loosen, uncoil, 2.220.",4
"dīverberō, no perf., ātus, 1, a.","diverbero, no perf., atus, 1, a.","to strike asunder, cleave, cut, 5.503.",3
"dīversus, a, um","diversus, a, um","opposite, contrary; away; ex dīversō, from different directions or from an opposite direction, 2.716; 3.232.",2
"dīvertō, vertī, versus, 3, n.","diverto, verti, versus, 3, n.","to turn one’s self, turn or go apart.",2
"dīves, itis, and dīs, dīte","dives, itis, and dis, dite","(adj.), rich, wealthy; fertile, 7.262; w. gen., rich in respect of, rich in, 1.14; w. abl., rich in, abounding in, 4.38; superl., dītissimus, a, um, the richest, wealthiest, 1.343; very rich, opulent, 9.360.",16
"dīvidō, vīsī, vīsus, 3, a.","divido, visi, visus, 3, a.","divide; cleave, 9.751; separate, 3.383; to divide by being inlaid; to be set in, 10.134; distribute, 1.197; open, break through, 2.234; of the mind, to turn, 4.285.",8
"dīvīnus, a, um","divinus, a, um","adj. (dīvus), relating to the gods; heaven-descended, divine, 5.47; heavenly, 1.403; inspired, prophetic, 3.373.",1
"dīvitiae, ārum, f.","divitiae, arum, f.","riches, wealth, 6.610. (dīves)",1
"dīvortium, iī, n.","divortium, ii, n.","a separation; a parting, or crossway, 9.379. (dīvortō or dīvertō)",1
"dīvus (dīus), a, um","divus (dius), a, um","(adj.), divine; godlike, 11.657; subst., dīvus, ī, m., a god, freq.; the image of a god, 12.286; dīva, ae, f., a goddess, 1.632, et al.",1
"dīvus, ī, m.","divus, i, m.","a god, freq.; the image of a god, 12.286; dīva, ae, f., a goddess, 1.632, et al.",69
"dō, dedī, datus, dare, a.","do, dedi, datus, dare, a.","to give, freq.; grant, 1.79; bestow, 12.394; offer, 8.106; show, betray, 12.69; present, make, render, effect, 9.323; consign, throw, cast, 2.566; yield, resign, 11.162; supply, 2.391; bring, 4.683; give forth, spread, 12.301; make, 11.385; form, 12.575; direct, 3.337; establish, ordain, 12.192; unfurl, 1.35; often w. infin. as object acc., 5.538; sē dare, to intrust one’s self, venture upon, 9.56; to be given or afforded, 4.627; dare dēfēnsum, to defend completely, 12.437; dare poenās, to suffer punishment. Dare, w. a substantive following, may often be translated by the verb kindred with the latter; as, dare complexūs, to embrace, 1.687; dare partū, to bring forth, bear, 1.274.",317
"doceō, uī, tus, 2, a.","doceo, ui, tus, 2, a.","to teach, instruct, 6.292; tell, inform, 1.332; describe, recount, 3.717; interpret, explain, 5.523; p., doctus, a, um, well-informed; learned, wise, experienced, skillful, 10.225, et al.",20
"doctus, a, um","doctus, a, um","well-informed; learned, wise, experienced, skillful, 10.225, et al. (doceō)",2
"Dōdōnaeus, a, um","Dodonaeus, a, um","(adj.), of, Dodona; Dodonaean, 3.466.",1
"doleō, uī, itus, 2, n. and a.","doleo, ui, itus, 2, n. and a.","to be in pain; to grieve, sorrow, mourn, freq.; to endure grief, 4.434; to be displeased, angry, 1.9; to feel indignation, shame, disgrace, 11.732.",6
"Dolichāōn, onis, m.","Dolichaon, onis, m.","a Trojan, 10.696.",1
"dolō, ōnis, m.","dolo, onis, m.","a staff or pole with an iron point; a pike, 7.664.",1
"Dolōn, ōnis, m.","Dolon, onis, m.","a Trojan spy, 12.347.",1
"Dolopes, um, m.","Dolopes, um, m.","the Dolopians, a warlike tribe of Thessaly, followers of Pyrrhus at Troy, 2.7.",4
"dolor, ōris, m.","dolor, oris, m.","pain, 4.693; grief, anguish, 4.474; resentment, 1.25; fury, vengeance, 2.594. (doleō)",40
"dolus, ī, m.","dolus, i, m.","artifice, device, stratagem, 2.390; fraud, treachery, wile, 2.34; deception, craft, 1.684; secret or hidden crime, crafty misdeed, 6.567; (fig.), maze, 5.590; treacherous work or fabric, 2.264.",26
"domina, ae, f.","domina, ae, f.","mistress, queen, 3.438; goddess, 3.113. (dominus)",5
"dominor, ātus sum (pass. inf., dominārier, 7.70), 1, dep. n.","dominor, atus sum (pass. inf., dominarier, 7.70), 1, dep. n.","to be lord or master; rule, reign, be supreme, 2.363; foll. by abl. w. in, 2.327; by abl. without in, 6.766; and in 1.285; take possession, overrun, prevail. (dominus)",6
"dominus, ī, m.","dominus, i, m.","a master, owner, lord, ruler, 1.282, et al. (rel. to domō)",9
"domitō, 1, intens. a.","domito, 1, intens. a.","to tame; train, exercise, 7.163. (domō)",1
"domitor, ōris, m.","domitor, oris, m.","a tamer, 7.189; ruler, sovereign, 5.799. (domō)",7
"domō, uī, itus, 1, a.","domo, ui, itus, 1, a.","to tame, train, vanquish, 2.198; subdue, 6.80; till, 9.608.",4
"domus, ī or ūs, f.","domus, i or us, f.","house, habitation, dwelling, palace, mansion, 1.637, et al.; home, 1.600; structure, building, 6.27; nest, 5.214; haunt, 3.647; abode, region, 6.534; family, house, race, posterity, country, lineage, 1.284, et al.; pl., a palatial building with its several courts; palace, 2.445; gen. as locat., domī, in the house, at home; acc., domum, homeward, home.",85
dōnec,donec,"(adv.), as long as, while; until, till at length, w. indic., 1.273; w. subj., 11.860. (contract. fr. dōnicum, until)",14
"dōnō, āvī, ātus, 1, a.","dono, avi, atus, 1, a.","to present; give, 5.262; reward, 5.268; w. acc. and abl., 5.361. (dōnum)",7
"dōnum, ī, n.","donum, i, n.","a gift, present, 1.652; reward, prize, 5.266; sacrifice, offering, 3.301; 4.63; bounty, blessing, 2.269. (dō)",58
"Donūsa, ae, f.","Donusa, ae, f.","an island between the Cyclades and Crete; one of the Sporades, 3.125.",1
"Dōricus, a, um","Doricus, a, um","(adj.), Doric; Greek, 2.27.",2
"dorsum, ī, n.","dorsum, i, n.","the back, 11.577; a ridge, reef of rocks, 1.110; a bank, 10.303.",5
"Doryclus, ī, m.","Doryclus, i, m.","Doryclus, a follower of Aeneas, 5.620.",2
"dōs, dōtis, f.","dos, dotis, f.","a marriage portion, dowry, 7.423. (dō)",1
"dōtālis, e","dotalis, e","adj. (dōs), pertaining to a dowry, dotal, 4.104.",3
"dōtō, āvī, ātus, 1, a.","doto, avi, atus, 1, a.","to endow, portion, 7.318. (dōs)",1
"Dōtō, ūs, f.","Doto, us, f.","a sea nymph, 9.102.",1
"dracō, ōnis, m.","draco, onis, m.","a dragon or fabulous kind of serpent, 4.484; a serpent, 2.225.",3
"Drancēs, is, m.","Drances, is, m.","a Latin hero, 11.122, et al.",7
"Drepanum, ī, n.","Drepanum, i, n.","Drepanum, a town on the western coast of Sicily, now Trapani, 3.707.",1
"Drūsus, ī, m.","Drusus, i, m.","the family name of several distinguished Romans, 6.824.",1
"Dryopē, ēs, f.","Dryope, es, f.","a wood nymph, 10.551.",1
"Dryopes, um, m.","Dryopes, um, m.","the Dryopes, a Pelasgian tribe, at first of Thessaly, later of Messene, 4.146.",1
"Dryops, opis, m.","Dryops, opis, m.","Dryops, a Trojan follower of Aeneas, 10.346.",1
"dubitō, āvī, ātus, 1, a. and n.","dubito, avi, atus, 1, a. and n.","to doubt, 3.170; hesitate, 6.806; fear, 8.614; to be in meditation, to ponder, 9.191; p., dubitandus, a, um, to be questioned, 3.170.",7
"dubius, a, um","dubius, a, um","(adj.), uncertain, doubting, doubtful; active, 1.218; 4.55; passive, to be doubted, uncertain, doubtful, 2.359.",1
"dūcō, dūxī, ductus, 3, a.","duco, duxi, ductus, 3, a.","to lead, freq.; draw; guide, direct, conduct, 1.401; stretch, strain, draw, 11.860; draw, unsheath, 12.378; incline, 5.7; usher in, 2.802; draw over one’s self, take on, 10.192; take (a wife), raise, build, 1.423; of metals, beat out, form, fashion, 7.634; mold, express, 6.848; choose by drawing lots; choose, 2.201; receive, 5.534; spend, protract, 6.539; draw out, prolong, 2.641; continue, 1.642; calculate, reckon, 6.690; deem, think, 10.669; derive, 5.568; (pass.), dūcī, to be descended; to descend, spring from, 1.19.",77
"ductor, ōris, m.","ductor, oris, m.","a leader, 1.189; captain, commander, 5.133; prince, king, 9.691. (dūcō)",23
dūdum,dudum,"(adv.), a while ago; some time ago; lately, not long ago; just now, 2.726, et al. (diū and dum)",4
"dulcēdō, inis, f.","dulcedo, inis, f.","sweetness; delight, joy, 11.538. (dulcis)",1
"dulcis, e","dulcis, e","(adj.), sweet, 1.433; pure, clear, pleasant, delightful, 1.694; dear, 2.777.",23
"Dūlichium, iī, n.","Dulichium, ii, n.","Dulichium, an island southeast of Ithaca, belonging to the kingdom of Ulysses, 3.271.",1
dum,dum,"(conj.), while, as long as, 1.607, et al.; even while (in the act of), 6.586; until, till, 1.265; yet, as yet, 11.70; until, while (of purpose), w. subj., 1.5; provided that, if only, w. subj., 11.792.",81
"dūmus, ī, m.","dumus, i, m.","a bramble, 4.526; brake, thicket.",8
"duo, ae, o","duo, ae, o","(num. adj.), two, 2.213, et al.",22
"duplex, icis","duplex, icis","adj. (duo and plicō), twofold, double, 1.655; lying over each other, lapping, 9.707; both, 1.93; twin, 12.198.",10
"duplicō, āvī, ātus, 1, a.","duplico, avi, atus, 1, a.","to double; double up, fold up or bend, 11.645; 12.927. (duplex)",3
"dūrō, āvī, ātus, 1, a. and n.","duro, avi, atus, 1, a. and n.","to make hard, harden; to be enduring; endure, persevere; be firm, patient, bear up, 1.207; continue, last. (dūrus)",3
"dūrus, a, um","durus, a, um","(adj.), hard, to the touch; tough, stiff, 5.403; hardy, 5.730; sturdy, 7.504; strong, 2.479; harsh, unpleasant; stern, cruel; inexorable; insensible, 4.428; difficult, 1.563; grievous, heavy, 4.488; rough, dangerous, 3.706; much enduring, 2.7; 4.247; much suffering, tired with grief, 12.873.",2
"dux, ducis, c.","dux, ducis, c.","a leader, guide, head, 1.364; chief, captain, commander, 2.261; groom (others, a pilot), 3.470. (dūcō)",46
"Dymās, antis, m.","Dymas, antis, m.","Dymas, a Trojan warrior, 2.340.",3
"ebur, oris, n.","ebur, oris, n.","ivory, 1.592.",4
"eburnus, a, um","eburnus, a, um","adj. (ebur), of ivory; ivory, 6.647; ivory-hilted, 11.11.",4
"Ebusus, ī, m.","Ebusus, i, m.","a Latin warrior, 12.299.",1
ecce,ecce,"(interj.), see! lo! behold! w. a proposition, 5.793. (en and ce)",37
"Echīonius, a, um","Echionius, a, um","of Echion, one of the Theban ancestors, produced from the dragon’s teeth; Echionian, Theban, 12.515. (Echīon)",1
"ecquis, ecquid","ecquis, ecquid","(subst. interr. pron., denoting vehement feeling ), whether anybody? anything, any one; anybody? who, what, anything? freq.; (adv.), ecquid, as to anything, in any respect or degree? perchance? at all? 3.342. (ec and quis)",1
"ecquī, quae or qua, quod","ecqui, quae or qua, quod","(adj. interr. pron., denoting vehement feeling), whether any? any? 3.341. (ec and qui)",2
"edāx, ācis","edax, acis","voracious; devouring, consuming, 2.758. (edō)",1
"ēdīcō, dīxī, dictus, 3, a.","edico, dixi, dictus, 3, a.","to speak forth; declare; decree, order, w. subj. or inf., 3.235; announce, order, charge, 11.463.",3
"ēdisserō, uī, tus, 3, a.","edissero, ui, tus, 3, a.","to state; set forth, declare, relate, 2.149.",1
"edō, ēdī, ēsus, 3, a.","edo, edi, esus, 3, a.","to eat, 7.113; to eat, waste, consume, 4.66; pres., est, 4.66; (fig.), fret, vex, torment, consume, 12.801.",3
"ēdō, didī, ditus, 3, a.","edo, didi, ditus, 3, a.","to give out, put forth, raise; bring forth young; beget, 8.137; produce, make, 9.527; utter, 5.693; p., ēditus, a, um, exposed, raised up, elevated.",11
"ēdoceō, uī, tus, 2, a.","edoceo, ui, tus, 2, a.","to teach completely; communicate, declare, 5.748.",3
"ēdōnus, a, um","edonus, a, um","(adj.), pertaining to the Edoni, a people of southern Thrace; Edonian, Thracian, 12.365.",1
"ēducō, āvī, ātus, 1, a.","educo, avi, atus, 1, a.","to train, breed, 10.518.",14
"ēdūcō, dūxī, ductus, 3, a.","educo, duxi, ductus, 3, a.","to lead out, lead forth, 1.432; draw out, 10.744; bear, bring forth, 6.765; work out, forge, 6.630; erect, build, 2.186; rear, 2.461; bring up, maintain, 8.413.",1
"efferō, extulī, ēlātus, ferre, irreg. a.","effero, extuli, elatus, ferre, irreg. a.","to bear, or bring out or forth, 2.297; bear away, rescue, 3.150; raise, elevate, lift up or high, 1.127; elate, puff up, 11.715; efferre gressum or pedem, walk, go, come forth, 2.753; efferre sē, arise, 3.215. (ex and ferō)",23
"efferus, a, um","efferus, a, um","adj. (ex and ferus, wild), extremely wild; savage, frantic, 4.642; fierce, 8.6; cruel, 8.484.",6
"effētus, a, um","effetus, a, um","adj. (ex and fētus, productive), no longer producing; exhausted, 5.396; incapable (w. gen.), 7.440.",4
"efficiō, fēcī, fectus, 3, a.","efficio, feci, fectus, 3, a.","to make completely; form, make, 1.160; w. subj. clause, cause. (ex and faciō)",2
"effigiēs, ēī, f.","effigies, ei, f.","something molded or fashioned; a figure, likeness, or image, 3.148. (effingō)",7
"effingō, fīnxī, fīctus, 3, a.","effingo, finxi, fictus, 3, a.","to mold out, shape forth; form, fashion; portray, represent, 6.32; counterfeit, imitate, 10.640. (ex and fingō)",2
"efflāgitō, āvī, ātus, 1, a.","efflagito, avi, atus, 1, a.","to ask urgently; demand, 12.759. (ex and flagitō, demand)",1
"efflō, āvī, ātus, 1, a.","efflo, avi, atus, 1, a.","to blow or breathe out, 7.786. (ex and flō)",2
"effodiō, fōdī, fossus, 3, a.","effodio, fodi, fossus, 3, a.","to dig out, excavate, 1.427; dig up, 1.443; dig, thrust out, 3.663. (ex and fodiō)",3
"effor, fātus sum, 1, dep. a. and n.","effor, fatus sum, 1, dep. a. and n.","to speak forth; speak, say, 6.560. (ex and for)",28
"effringō, frēgī, frāctus, 3, a.","effringo, fregi, fractus, 3, a.","to break out or open; crush, dash out, 5.480. (ex and frangō)",1
"effugiō, fūgī, 3, n. and a.","effugio, fugi, 3, n. and a.","to flee forth or away; glide away, 2.226; get off, escape; speed along, 5.151; pass swiftly from, flee from, escape from, 2.793; 3.272; escape, 3.653. (ex and fugiō)",12
"effugium, iī, n.","effugium, ii, n.","a fleeing away; pl., flight, escape, 2.140. (effugiō)",1
"effulgeō, and effulgō, fulsī, 2, and 3, n.","effulgeo, and effulgo, fulsi, 2, and 3, n.","to shine forth or brightly; be effulgent, 2.616; 8.677; glitter, be distinguished, conspicuous, 5.133. (ex and fulgeō)",4
"effultus, a, um","effultus, a, um","propped up; supported, 7.94.",2
