Headword,Headword_Data,Definitions,Occurrences in the Aeneid
"Paphos (-us), ī, f.","Paphos (-us), i, f.","Paphos, a town in the western part of Cyprus, devoted to the worship of Venus, 1.415.",3
"papilla, ae, f.","papilla, ae, f.","a nipple; the breast, 11.803.",2
"pār, paris","par, paris","(adj.), equal, 1.705; like, 2.794; equal, well-poised, steady, 4.252; side by side, 5.580; well-matched, 5.114.",26
"parō, āvī, ātus, 1, a. and n.","paro, avi, atus, 1, a. and n.","to make ready, prepare, build, 3.160; (w. inf.), begin, get ready, 1.179; undertake, 6.369; n., 2.121.",13
"Parca, ae, f.","Parca, ae, f.","more freq. pl., Parcae, ārum, f., the Fates (Clotho, the spinner, Lachesis, the allotter, and Atropos, the unaverted), 1.22, et al.",8
"parcō, pepercī, parcitus, 3, n.","parco, peperci, parcitus, 3, n.","to spare, w. dat.; refrain from using, save, 8.317; spare, forbear to hurt or persecute, 1.526; cease, abstain, refrain from, 1.257; regard, yield to, 10.880; w. inf., beware, forbear. (rel. to parcus, scanty)",15
"parēns, entis, c.","parens, entis, c.","a parent; father, sire, 1.75, et al.; mother, 2.591; ancestor, 2.448, et al. (pariō)",67
"pāreō, uī, itus, 2, n.","pareo, ui, itus, 2, n.","to appear; to present one's self; to obey, 1.689; to be subject, under command; to follow, 10.179; answer, reveal signs or omens, 10.176.",17
"pariēs, etis, m.","paries, etis, m.","a wall, whether partition or external wall, 5.589; 2.442.",2
"pariō, peperī, partus, 3, a.","pario, peperi, partus, 3, a.","to bring forth, bear, 6.89; procure, 6.435; win, 2.578; secure, 3.495; p., partus, a, um, born; produced, prepared, 2.784; won, 5.229.",8
"Paris, idis, m.","Paris, idis, m.","Paris, son of Priam and Hecuba, who occasioned the Trojan war by carrying off Helen from Sparta; slain by the arrow of Philoctetes, 4.215, et al.",9
pariter,pariter,"(adv.), equally, 2.729; also, in like manner, in the same manner, on equal terms, 1.572; side by side, 2.205; at the same time, 10.865; pariter — pariter, 8.545. (pār)",30
"Parius, a, um","Parius, a, um","adj. (Paros), of Paros; Parian, 1.593.",1
"parma, ae, f.","parma, ae, f.","a small round shield or buckler, usually carried by light troops, 11.693, et al.; in gen., a shield, 2.175.",8
"Parrhasius, a, um","Parrhasius, a, um","adj. (Parrhasia), of Parrhasia in Arcadia; Parrhasian or Arcadian, 11.31.",2
